recombinant_node,recombinant_lineage,rivet_bp1_interval,rivet_bp2_interval,rivet_3seq_p,informative_sites_count,rhizaeon_detected,rhizaeon_num_bps,rhizaeon_bps,rhizaeon_concordant,rhizaeon_min_dist_to_interval,rhizaeon_runtime_ms,three_seq_detected,three_seq_p,three_seq_runtime_ms
node_100454,B.1.1,"(5648,6613)","(21974,22812)",0.00554696,21,False,0,,False,inf,5.125833000000135,False,0.005546956323,47.7859589999996
node_100471,B.1.1,"(6319,12778)","(29903,29903)",0.0100373,18,False,0,,False,inf,4.980125000000335,False,1.0,40.5016250000001
node_100611,B.1.1,"(14676,16176)","(28111,28977)",0.0333333,10,False,0,,False,inf,3.3093329999998033,False,1.0,41.51087499999928
node_100677,B.1.1,"(21618,22917)","(28111,28461)",0.000386997,20,True,1,22266,True,0.0,10.160208999999476,True,0.000386996951,39.58674999999978
node_100697,B.1.1,"(15279,23271)","(29903,29903)",0.0476191,9,False,0,,False,inf,2.684207999999799,False,1.0,40.42233299999953
node_100720,B.1.1,"(913,3267)","(23271,24914)",0.0151515,11,False,0,,False,inf,3.7749580000001615,False,1.0,39.89779200000054
node_100808,B.1.1,"(23012,24914)","(29903,29903)",0.0196078,18,True,1,23620,True,0.0,7.483625000000771,True,0.004901961423,37.362667000000016
node_100830,B.1.1,"(5388,15279)","(28111,28881)",0.00757576,12,False,0,,False,inf,3.089540999999585,False,0.007575758267,37.9358329999997
node_100991,B.1.1,"(913,3267)","(23271,23604)",0.0151515,11,False,0,,False,inf,3.7240829999998226,False,1.0,51.81391700000049
node_101012,B.1.1,"(24138,25413)","(29903,29903)",0.00619195,20,True,1,24820,True,0.0,7.032749999999588,False,0.006191951223,36.34612500000056
node_101036,B.1.1,"(22320,25517)","(29903,29903)",0.00490196,18,True,1,24872,True,0.0,4.94558399999967,True,0.004901961423,37.58508299999974
node_101092,B.1.1,"(913,1059)","(16500,23063)",7.14456e-05,20,False,0,,False,inf,4.64337500000056,True,7.1445596e-05,37.78041600000037
node_101126,B.1.1,"(913,3267)","(23709,24506)",0.002997,14,True,1,24106,False,20839.0,4.398333000000143,True,0.002997003263,41.19487499999997
node_1013351,BA.1.1,"(9166,16743)","(21595,22599)",0.0238095,10,False,0,,False,inf,3.0937079999997508,False,1.0,40.006375000000375
node_1013893,BA.1.1,"(22599,25708)","(29903,29903)",0.2,6,False,0,,False,inf,3.703624999999988,False,1.0,41.931124999999625
node_1013894,BA.1.1,"(12781,15483)","(25886,29301)",0.0238095,10,False,0,,False,inf,5.113750000000028,False,1.0,39.863249999999795
